,SampleSiteCode,SampleID,Soil Wet Weight (g),Soil Dry Weight (g),Lab #,SiteID,"Whole sample wt, g",">2mm portion wt, g",SAND,SILT,CLAY,IGSN,Top sample depth_cm,Bottom sample depth_cm,Collection date,BD_tot g/cm3,"<2mm portion wt, g",BD_2mm g/cm3,BD_wet g/cm3,water content %vol,mineral density g/cm3,sand density g/cm3,silt density g/cm3,clay density g/cm3
385,396-ER18,396-ER18-SBD,104.8,92.2,91770.0,396.0,93.57,24.3,42.2,38.5,19.3,IER1801HK,2.5,7.5,6/27/18,1.02,67.9,0.75,1.16,13.91,0.97,0.3,0.27,0.14
386,397-ER18,397-ER18-SBD,76.77,66.31,91952.0,397.0,67.58,12.83,36.2,43.4,20.4,IER1801HL,2.5,7.5,6/27/18,0.73,53.48,0.59,0.85,11.55,0.69,0.2,0.24,0.11
387,398-ER18,398-ER18-SBD,70.82,28.2,91953.0,398.0,59.62,9.22,38.7,38.3,23.0,IER1801HM,2.5,7.5,6/27/18,0.31,18.98,0.21,0.78,47.05,0.29,0.07,0.07,0.04
388,399-ER18,399-ER18-SBD,103.45,93.14,91954.0,399.0,93.92,37.21,61.7,25.6,12.8,IER1801HN,2.5,7.5,6/27/18,1.03,55.93,0.62,1.14,11.38,0.99,0.36,0.15,0.07
389,400-ER18,400-ER18-SBD,113.37,100.63,91955.0,400.0,101.84,54.01,59.3,24.6,16.2,IER1801HO,2.5,7.5,6/28/18,1.11,46.62,0.51,1.25,14.06,1.08,0.29,0.12,0.08
390,401-ER18,401-ER18-SBD,99.2,85.6,91956.0,401.0,86.65,24.87,75.7,19.2,5.1,IER1801HP,2.5,7.5,6/28/18,0.94,60.73,0.67,1.1,15.01,0.9,0.48,0.12,0.03
391,402-ER18,402-ER18-SBD,104.02,88.28,91957.0,402.0,89.25,40.03,47.8,33.7,18.6,IER1801HQ,2.5,7.5,6/28/18,0.97,48.25,0.53,1.15,17.37,0.92,0.23,0.16,0.09
392,403-ER18,403-ER18-SBD,101.71,91.46,91958.0,403.0,92.74,37.12,24.7,44.6,30.6,IER1801HR,2.5,7.5,6/28/18,1.01,54.34,0.6,1.12,11.31,0.97,0.14,0.25,0.17
393,404-ER18,404-ER18-SBD,102.81,88.47,91959.0,404.0,89.56,30.57,26.9,46.2,26.9,IER1801HS,2.5,7.5,6/28/18,0.98,57.9,0.64,1.13,15.83,0.92,0.16,0.27,0.16
394,405-ER18,405-ER18-SBD,109.7,100.89,91960.0,405.0,101.41,66.33,,,,IER1801HT,2.5,7.5,6/28/18,1.11,34.56,0.38,1.21,9.73,1.05,,,
